School Id,Org Name,Telephone,Fax,Email^,Principal*,URL,Physical Address Line1,Physical Address Suburb,Physical Address City,Postal Address Line1,Postal Address Suburb,Postal Address City,Postal Address Postal Code,Urban Area,Org Type,Definition,Authority,CoEd Status,Territorial Authority,Regional Council,Local Office Name,Education Region,General Electorate,Māori Electorate,Area Unit,Ward,Col Id,Col Name,Latitude,Longitude,Decile,Total,European,Māori,Pacific,Asian,MELAA,Other,International,IsolationIndex,SchoolDonations
15,Whangarei Boys' High School,09 430 4170,09 430 4172,enquiries@wbhs.school.nz,Karen Gilbert-Smith,http://www.wbhs.school.nz,10 Kent Road,,Whangarei,P O Box 5034,,Whangarei,140,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State,Single Sex (Boys School),Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Regent,Okara Ward,99181,Ngā Kura mo te ako o Whangarei Kāhui Ako Group 2,-35.716109,174.31838,5,1104,579,412,36,54,12,5,6,0.63,Donations should not be requested unless for a school camp
16,Whangarei Girls' High School,09 430 4460,09 430 4410,office@wghs.school.nz,Anne Cooper,http://www.wghs.school.nz,1 Lupton Avenue,Regent,Whangarei,P O Box 5056,,Whangarei,140,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State,Single Sex (Girls School),Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Regent,Okara Ward,99180,Ngā Kura mo te ako o Whangarei Kāhui Ako Group 1,-35.713281,174.319551,5,1313,720,471,34,57,19,6,6,0.62,Donations should not be requested unless for a school camp
17,Pompallier Catholic College,09 438 3950,09 430 0302,admin@pompallier.school.nz,Richard Stanton,http://www.pompalliercollege.school.nz,State Highway 14,Maunu,Whangarei,P O Box 10042,Te Mai,Whangarei,143,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Te Hihi,Mangakahia-Maungatapere Ward,99180,Ngā Kura mo te ako o Whangarei Kāhui Ako Group 1,-35.744856,174.275714,7,538,337,80,17,61,13,8,22,0.69,Donations may be requested
18,Mangakahia Area School,09 433 1702,,admin@mangakahia.school.nz,Philip Reynolds,http://www.mangakahia.school.nz,Mangakahia Road,Titoki,Whangarei,Private Bag,Titoki,Whangarei,140,Rural Area,Composite,Not Applicable,State,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Opouteke-Tanekaha,Mangakahia-Maungatapere Ward,99183,Ngā Kura mo te ako o Whangarei Kāhui Ako Group 4,-35.732271,174.058781,3,107,17,90,0,0,0,0,0,1.15,Donations should not be requested unless for a school camp
19,Dargaville High School,09 439 7229,09 439 7563,office@darghigh.school.nz,Michael Houghton,http://www.dargavillehighschool.co.nz,Plunket Street,,Dargaville,Plunket Street,,Dargaville,310,Minor Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State,Co-Educational,Kaipara District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Dargaville,Dargaville Ward,99185,Northern Wairoa Kāhui Ako,-35.931684,173.868057,3,396,204,159,21,5,3,2,2,1.69,Donations should not be requested unless for a school camp
20,Bream Bay College,09 432 8226,09 432 8228,ksandford@breambaycollege.school.nz,Wayne Buckland,http://www.breambaycollege.school.nz/,Peter Snell Road,,Ruakaka,P O Box 111,,Ruakaka,151,Rural Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Marsden Point-Ruakaka,Bream Bay Ward,99184,Bream Bay Kāhui Ako,-35.876071,174.455785,5,528,281,206,17,17,5,0,2,1.04,Donations should not be requested unless for a school camp
21,Otamatea High School,09 431 8230,09 431 8229,ohs@otamatea.school.nz,Rachel Clothier-Simmonds,http://www.otamatea.school.nz,Bickerstaffe Road,,Maungaturoto,P O Box 64,,Maungaturoto,547,Rural Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Kaipara District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Rehia-Oneriri,Otamatea Ward,99118,Twin Coast Community of Learning,-36.117223,174.36526,4,419,266,135,4,9,1,1,3,1.46,Donations should not be requested unless for a school camp
22,Ruawai College,09 439 2216,09 439 2214,,Raeleen Harre,http://www.ruawaicollege.school.nz,4375 State Highway 12,,Ruawai,State Highway 12,,Ruawai,530,Rural Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Kaipara District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Rehia-Oneriri,West Coast-Central Ward,,,-36.122563,174.011674,4,139,67,66,2,4,0,0,0,1.81,Donations may be requested
23,Rodney College,09 423 6030,09 423 7555,eo@rodneycollege.school.nz,Irene Symes,http://www.rodneycollege.school.nz,287 Rodney Street,,Wellsford,287 Rodney Street,,Wellsford,900,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Rodney,Auckland Region,Auckland,Auckland,Northland,Te Tai Tokerau,Wellsford,Rodney Ward,,,-36.288153,174.520832,4,368,226,109,11,14,3,4,1,1.47,Donations should not be requested unless for a school camp
24,Mahurangi College,09 425 8039,09 425 7275,admin@mahurangi.school.nz,David Macleod,http://www.mahurangi.school.nz,Woodcocks Road,,Warkworth,P O Box 64,,Warkworth,941,Minor Urban Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Auckland - Rodney,Auckland Region,Auckland,Auckland,Rodney,Te Tai Tokerau,Warkworth,Rodney Ward,99122,Mahurangi Community of Learning,-36.40651,174.655545,7,1476,1039,213,93,46,32,4,49,1.01,Donations may be requested
25,Orewa College,09 427 3833,,admin@orewacollege.nz,Kate Shevland,https://www.orewacollege.nz/,Riverside Road,,Orewa,P O Box 345,,Orewa,946,Main Urban Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Auckland - Hibiscus and Bays,Auckland Region,Auckland,Auckland,Rodney,Te Tai Tokerau,Orewa,Albany Ward,99069,Orewa Community of Learning,-36.591691,174.689748,9,1926,1370,269,65,126,36,17,43,0.44,Donations may be requested
26,Kaipara College,09 420 8640,09 420 7485,jsherman@kaipara.school.nz,Stephen McCracken,http://www.kaipara.school.nz/,Rautawhiri Road,,Helensville,Rautawhiri Road,,Helensville,800,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Rodney,Auckland Region,Auckland,Auckland,Helensville,Te Tai Tokerau,Helensville,Rodney Ward,99097,Te Kāhui Ako o Kaipara,-36.680149,174.459139,7,763,518,181,21,24,12,1,6,0.71,Donations should not be requested unless for a school camp
27,Long Bay College,09 477 9009,09 477 9105,office@lbc.school.nz,CJ Healey,http://www.longbaycollege.com,Ashley Avenue,Torbay,Auckland,P O Box 89007,Torbay,Auckland,742,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Hibiscus and Bays,Auckland Region,Auckland,Auckland,East Coast Bays,Te Tai Tokerau,Long Bay,Albany Ward,99121,Oneroa Community of Learning,-36.691388,174.738758,10,1444,956,86,22,135,62,16,167,0.15,Donations may be requested
28,Rangitoto College,09 477 0150,09 477 0077,accounts@rangitoto.school.nz,Patrick Gale,http://www.rangitoto.school.nz,564 East Coast Road,Browns Bay,Auckland,P O Box 93601,Browns Bay,Auckland,753,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Upper Harbour,Auckland Region,Auckland,Auckland,East Coast Bays,Te Tai Tokerau,Windsor Park,Albany Ward,99000,Mid Bays Community of Schools,-36.73719,174.736685,10,3156,1593,165,57,918,132,22,269,0.11,Donations may be requested
29,Kristin School,09 415 9566,,kristin@kristin.school.nz,Mark Wilson,http://www.kristin.school.nz/,360 Albany Highway,Albany,Auckland,P O Box 300087,Albany,Auckland,752,Main Urban Area,Composite,Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Upper Harbour,Auckland Region,Auckland,Auckland,East Coast Bays,Te Tai Tokerau,North Harbour West,Albany Ward,,,-36.742982,174.692244,10,1631,784,38,15,695,24,5,70,Not applicable,Not applicable
30,Glenfield College,09 444 9066,09 444 7198,admin@gc.ac.nz,Paul McKinley,https://www.gc.ac.nz/,Kaipatiki Road,Glenfield,Auckland,P O Box 40176,Glenfield,North Shore City,747,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Kaipatiki,Auckland Region,Auckland,Auckland,Northcote,Te Tai Tokerau,Kaipatiki,North Shore Ward,99120,Kaipātiki Community of Learning,-36.779794,174.714954,6,441,151,71,34,118,29,7,31,0.18,Donations should not be requested unless for a school camp
31,Birkenhead College,09 483 9039,09 483 4094,office@birkenhead.school.nz,Craig Waller,http://www.birkenhead.school.nz/,140 Birkdale Road,Birkenhead,Auckland,Private Bag 34911,Birkenhead,North Shore City,746,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Kaipatiki,Auckland Region,Auckland,Auckland,Northcote,Te Tai Tokerau,Birkdale South,North Shore Ward,99214,Te Ara Whetū Kāhui Ako,-36.799167,174.701152,6,575,226,106,95,84,25,4,35,0.26,Donations may be requested
32,Northcote College,09 481 0141,09 481 0142,office@northcote.school.nz,Vicki Barrie,http://www.northcote.school.nz,Kauri Glen Road,Northcote,Auckland,Kauri Glen Road,Northcote,North Shore City,627,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Kaipatiki,Auckland Region,Auckland,Auckland,Northcote,Te Tai Tokerau,Northcote South,North Shore Ward,99067,Northcote Community of Learning,-36.808874,174.733678,7,1062,515,156,84,159,42,7,99,0.18,Donations may be requested
35,Carmel College,09 486 1132,09 486 2286,admin@carmel.school.nz,Christine Allen,http://www.carmel.school.nz/,108 Shakespeare Road,Milford,Auckland,P O Box 31142,Milford,North Shore City,741,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Single Sex (Girls School),Auckland - Devonport-Takapuna,Auckland Region,Auckland,Auckland,North Shore,Te Tai Tokerau,Westlake,North Shore Ward,99126,North Shore Catholic Schools Community of Learning,-36.779169,174.756742,9,1003,582,49,55,213,44,9,51,0.2,Donations may be requested
36,Takapuna Grammar School,09 489 4167,09 486 7118,office@takapuna.school.nz,Mary Nixon,http://www.takapuna.school.nz,210 Lake Road,Takapuna,Auckland,P O Box 331096,Takapuna,Auckland,740,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Devonport-Takapuna,Auckland Region,Auckland,Auckland,North Shore,Te Tai Tokerau,Seacliffe,North Shore Ward,99048,Devonport-Takapuna Kāhui Ako,-36.800609,174.788478,10,1691,1034,87,39,249,34,24,224,0.24,Donations may be requested
37,Westlake Boys' High School,09 410 8667,09 410 7717,office@westlake.school.nz,David Ferguson,http://www.westlake.school.nz,Forrest Hill Road,Takapuna,Auckland,30 Forrest Hill Road,Forrest Hill,North Shore City,620,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Single Sex (Boys School),Auckland - Devonport-Takapuna,Auckland Region,Auckland,Auckland,North Shore,Te Tai Tokerau,Westlake,North Shore Ward,99188,Pupuke (Westlake) Community of Learning,-36.777359,174.749492,9,2324,1026,181,98,738,66,13,202,0.18,Donations may be requested
38,Westlake Girls' High School,09 489 4169,09 486 1860,principal@westlakegirls.school.nz,Jane Stanley,http://www.westlakegirls.school.nz,2 Wairau Road,Takapuna,Auckland,2 Wairau Road,Takapuna,North Shore City,627,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Single Sex (Girls School),Auckland - Devonport-Takapuna,Auckland Region,Auckland,Auckland,North Shore,Te Tai Tokerau,Westlake,North Shore Ward,99188,Pupuke (Westlake) Community of Learning,-36.782451,174.75231,9,2340,977,149,86,717,99,37,275,0.19,Donations may be requested
39,Rosmini College,09 489 5417,09 489 5323,hmeurant@rosmini.school.nz,Nixon Cooper,http://www.rosmini.school.nz,36 Dominion Street,Takapuna,Auckland,36 Dominion Street,Takapuna,North Shore City,622,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Single Sex (Boys School),Auckland - Devonport-Takapuna,Auckland Region,Auckland,Auckland,North Shore,Te Tai Tokerau,Westlake,North Shore Ward,99126,North Shore Catholic Schools Community of Learning,-36.792435,174.760146,9,1099,642,93,63,215,52,2,32,0.21,Donations may be requested
40,Rutherford College,09 834 9790,09 834 6506,admin@rutherford.school.nz,Gary Moore,http://www.rutherfordcollege.school.nz,Kotuku Street,Te Atatu,Auckland,Kotuku Street,Te Atatu Peninsula,Waitakere,610,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Henderson-Massey,Auckland Region,Auckland,Auckland,Te Atatu,Te Tai Tokerau,Te Atatu Central,Waitakere Ward,99013,Te Atatu Community of Learning,-36.852583,174.64631,5,1216,453,251,185,225,37,7,58,0.1,Donations should not be requested unless for a school camp
41,Macleans College,09 535 2620,09 535 2621,Claire.Gunn@macleans.school.nz,Steven Hargreaves,http://www.macleans.school.nz,Macleans Road,Bucklands Beach,Auckland,Private Bag 94201,Howick,Auckland,2145,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Howick,Auckland Region,Auckland,Auckland,Pakuranga,Tamaki Makaurau,Bucklands and Eastern Beaches,Howick Ward,99216,Macleans Kāhui Ako,-36.882715,174.914425,9,2539,832,78,41,1219,50,7,312,0.32,Donations may be requested
42,Green Bay High School,09 817 8173,09 817 8264,office@greenbayhigh.school.nz,Fiona Barker,http://www.greenbayhigh.school.nz,143-161 Godley Road,Green Bay,Auckland,161 Godley Road,Green Bay,Waitakere,604,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Whau,Auckland Region,Auckland,Auckland,New Lynn,Tamaki Makaurau,Green Bay,Whau Ward,99062,Kōtuitui Community of Learning,-36.930942,174.669396,8,1361,927,157,63,118,42,6,48,0.18,Donations may be requested
43,Massey High School,09 831 0500,09 833 9200,office@masseyhigh.school.nz,Glen Denham,http://www.masseyhigh.school.nz/,274 Don Buck Road,Massey,Auckland,274 Don Buck Road,Massey,Waitakere,614,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Henderson-Massey,Auckland Region,Auckland,Auckland,Upper Harbour,Te Tai Tokerau,Birdwood East,Waitakere Ward,99125,Te Kāhui Ako o Tiriwā,-36.841873,174.601694,4,1578,481,356,420,218,70,2,31,0.12,Donations should not be requested unless for a school camp
44,Waitakere College,09 836 7890,09 836 7892,secretary@waitakerecollege.school.nz,Mark Shanahan,http://www.waitakere-college.school.nz,Rathgar Road,Henderson,Auckland,P O Box 21144,Henderson,Waitakere,650,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Henderson-Massey,Auckland Region,Auckland,Auckland,Te Atatu,Te Tai Tokerau,Fairdene,Waitakere Ward,99092,Te Kāhui Ako o Waitakere Waitakere Community of Learners,-36.86709,174.620713,3,1310,334,306,379,228,54,2,7,0.04,Donations should not be requested unless for a school camp
45,Henderson High School,09 838 9085,09 838 9164,admin@hhs.school.nz,Michael Purcell,http://www.hhs.school.nz,Henderson Valley Road,Henderson,Auckland,P O Box 21141,Henderson,Waitakere,650,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Henderson-Massey,Auckland Region,Auckland,Auckland,Te Atatu,Te Tai Tokerau,Henderson South,Waitakere Ward,99029,Henderson Community of Learning,-36.883649,174.628206,3,859,372,215,147,83,26,3,13,0.02,Donations should not be requested unless for a school camp
46,Liston College,09 838 9350,09 837 9809,info@liston.school.nz,Christopher Rooney,http://www.liston.school.nz,69 Rathgar Road,Henderson,Auckland,69 Rathgar Road,Henderson,Waitakere,610,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Single Sex (Boys School),Auckland - Henderson-Massey,Auckland Region,Auckland,Auckland,Te Atatu,Te Tai Tokerau,Fairdene,Waitakere Ward,99092,Te Kāhui Ako o Waitakere Waitakere Community of Learners,-36.866057,174.62316,5,846,245,69,194,253,50,5,30,0.04,Donations may be requested
47,St Dominic's Catholic College (Henderson),09 839 0380,09 839 0390,stdoms@stdoms.ac.nz,Anna Swann,http://www.stdoms.ac.nz,29 Rathgar Road,Henderson,Auckland,P O Box 21123,Henderson,Waitakere,650,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Single Sex (Girls School),Auckland - Henderson-Massey,Auckland Region,Auckland,Auckland,Te Atatu,Te Tai Tokerau,Fairdene,Waitakere Ward,99092,Te Kāhui Ako o Waitakere Waitakere Community of Learners,-36.868851,174.621072,5,858,238,79,215,237,43,3,43,0.04,Donations may be requested
48,Western Springs College,09 815 6730,09 815 6740,admin@wsc.school.nz,Ivan Davis,http://www.westernsprings.school.nz,Motions Road,Western Springs,Auckland,Motions Road,Western Springs,Auckland,1022,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Waitemata,Auckland Region,Auckland,Auckland,Mt Albert,Tamaki Makaurau,Westmere,Waitemata and Gulf Ward,99154,Te Kāhui Ako o Waitematā,-36.861969,174.717536,8,1553,828,347,71,153,27,8,119,0.13,Donations may be requested
49,Selwyn College,09 521 9610,09 521 9620,info@selwyn.school.nz,Sheryll Ofner,http://www.selwyn.school.nz,Kohimarama Road,Kohimarama,Auckland,203 Kohimarama Road,Kohimarama,Auckland,1071,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Orakei,Auckland Region,Auckland,Auckland,Tamaki,Tamaki Makaurau,Mission Bay,Orakei Ward,99100,Te Roopu Pourewa Community of Learning,-36.862323,174.838552,4,1186,497,127,93,227,125,42,75,0.17,Donations may be requested
50,St Mary's College (Ponsonby),09 376 6568,09 376 0206,office@stmaryak.school.nz,Sarah Dwan,http://www.stmaryak.school.nz,11 New Street,Ponsonby,Auckland,P O Box 47003,Ponsonby,Auckland,1144,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Single Sex (Girls School),Auckland - Waitemata,Auckland Region,Auckland,Auckland,Auckland Central,Tamaki Makaurau,St Marys,Waitemata and Gulf Ward,99030,Auckland Central Catholic Community of Schools,-36.845996,174.748235,8,1032,603,85,169,121,5,4,45,0.06,Donations may be requested
51,St Paul's College (Ponsonby),09 376 1287,09 378 6713,stpauls@stpaulscollege.co.nz,Kieran Fouhy,http://www.stpaulscollege.co.nz/,183 Richmond Road,Ponsonby,Auckland,183 Richmond Road,Grey Lynn,Auckland,1021,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Single Sex (Boys School),Auckland - Waitemata,Auckland Region,Auckland,Auckland,Auckland Central,Tamaki Makaurau,Ponsonby West,Waitemata and Gulf Ward,99030,Auckland Central Catholic Community of Schools,-36.854449,174.73779,2,241,10,30,187,12,1,1,0,0.08,Donations may be requested
52,Tyndale Park Christian School,09 274 9771,09 274 9772,admin@tyndalepark.school.nz,Barend Blom,http://www.tyndalepark.school.nz,206 Murphys Road,Flat Bush,Manukau,206 Murphys Road,Flat Bush,Manukau,2019,Main Urban Area,Composite,Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Howick,Auckland Region,Auckland,Auckland,Hunua,Hauraki-Waikato,Ormiston,Howick Ward,,,-36.974539,174.92224,99,132,25,10,22,42,11,22,0,Not applicable,Not applicable
53,Auckland Girls' Grammar School,09 307 4180,09 309 9152,admin@aggs.school.nz,Ngaire Ashmore,http://www.aggs.school.nz,Howe Street,Newton,Auckland,P O Box 68053,Wellesley Street,Auckland,1141,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Single Sex (Girls School),Auckland - Waitemata,Auckland Region,Auckland,Auckland,Auckland Central,Tamaki Makaurau,Freemans Bay,Waitemata and Gulf Ward,99150,Mt Albert Community of Learning,-36.857013,174.753651,3,967,43,202,514,151,29,0,28,0.05,Donations should not be requested unless for a school camp
